,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
193,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,6,@CBSNews
194,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,5,@CBSNews
195,0.4019,Sat Dec 09 21:09:02 +0000 2017,0.816,0.0,0.184,4,@CBSNews
196,0.6597,Sat Dec 09 21:09:02 +0000 2017,0.565,0.0,0.435,3,@CBSNews
197,-0.9042,Sat Dec 09 21:09:02 +0000 2017,0.551,0.449,0.0,2,@CBSNews
198,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,1,@CBSNews
199,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,0,@CBSNews
200,0.25,Sat Dec 09 21:09:02 +0000 2017,0.857,0.0,0.143,99,@CNN
201,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,98,@CNN
202,0.2732,Sat Dec 09 21:09:02 +0000 2017,0.749,0.096,0.155,97,@CNN
203,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,96,@CNN
204,0.4588,Sat Dec 09 21:09:02 +0000 2017,0.403,0.265,0.332,95,@CNN
205,0.0736,Sat Dec 09 21:09:02 +0000 2017,0.821,0.083,0.096,94,@CNN
206,0.1872,Sat Dec 09 21:09:02 +0000 2017,0.763,0.1,0.137,93,@CNN
207,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,92,@CNN
208,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,91,@CNN
209,-0.5719,Sat Dec 09 21:09:02 +0000 2017,0.802,0.198,0.0,90,@CNN
210,-0.2023,Sat Dec 09 21:09:02 +0000 2017,0.847,0.153,0.0,89,@CNN
211,-0.4939,Sat Dec 09 21:09:02 +0000 2017,0.789,0.211,0.0,88,@CNN
212,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.56,0.44,0.0,87,@CNN
213,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,86,@CNN
214,0.3412,Sat Dec 09 21:09:02 +0000 2017,0.833,0.0,0.167,85,@CNN
215,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,84,@CNN
216,-0.4939,Sat Dec 09 21:09:02 +0000 2017,0.714,0.286,0.0,83,@CNN
217,-0.2263,Sat Dec 09 21:09:02 +0000 2017,0.84,0.16,0.0,82,@CNN
218,-0.5719,Sat Dec 09 21:09:02 +0000 2017,0.684,0.316,0.0,81,@CNN
219,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,80,@CNN
220,-0.6597,Sat Dec 09 21:09:02 +0000 2017,0.69,0.31,0.0,79,@CNN
221,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,78,@CNN
222,0.5983,Sat Dec 09 21:09:02 +0000 2017,0.822,0.0,0.178,77,@CNN
223,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,76,@CNN
224,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,75,@CNN
225,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,74,@CNN
226,0.6581,Sat Dec 09 21:09:02 +0000 2017,0.695,0.0,0.305,73,@CNN
227,0.5096,Sat Dec 09 21:09:02 +0000 2017,0.845,0.0,0.155,72,@CNN
228,-0.296,Sat Dec 09 21:09:02 +0000 2017,0.896,0.104,0.0,71,@CNN
229,0.2716,Sat Dec 09 21:09:02 +0000 2017,0.896,0.0,0.104,70,@CNN
230,0.4215,Sat Dec 09 21:09:02 +0000 2017,0.789,0.066,0.145,69,@CNN
231,-0.5267,Sat Dec 09 21:09:02 +0000 2017,0.833,0.167,0.0,68,@CNN
232,-0.5719,Sat Dec 09 21:09:02 +0000 2017,0.802,0.198,0.0,67,@CNN
233,-0.128,Sat Dec 09 21:09:02 +0000 2017,0.914,0.086,0.0,66,@CNN
234,0.647,Sat Dec 09 21:09:02 +0000 2017,0.669,0.067,0.264,65,@CNN
235,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,64,@CNN
236,0.4215,Sat Dec 09 21:09:02 +0000 2017,0.865,0.0,0.135,63,@CNN
237,0.1531,Sat Dec 09 21:09:02 +0000 2017,0.773,0.1,0.127,62,@CNN
238,0.4215,Sat Dec 09 21:09:02 +0000 2017,0.877,0.0,0.123,61,@CNN
239,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,60,@CNN
240,0.0772,Sat Dec 09 21:09:02 +0000 2017,0.936,0.0,0.064,59,@CNN
241,-0.296,Sat Dec 09 21:09:02 +0000 2017,0.891,0.109,0.0,58,@CNN
242,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,57,@CNN
243,0.3818,Sat Dec 09 21:09:02 +0000 2017,0.833,0.0,0.167,56,@CNN
244,-0.6597,Sat Dec 09 21:09:02 +0000 2017,0.812,0.188,0.0,55,@CNN
245,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,54,@CNN
246,-0.0253,Sat Dec 09 21:09:02 +0000 2017,0.742,0.131,0.127,53,@CNN
247,-0.3182,Sat Dec 09 21:09:02 +0000 2017,0.675,0.211,0.114,52,@CNN
248,0.0516,Sat Dec 09 21:09:02 +0000 2017,0.93,0.0,0.07,51,@CNN
249,-0.4939,Sat Dec 09 21:09:02 +0000 2017,0.849,0.151,0.0,50,@CNN
250,0.5574,Sat Dec 09 21:09:02 +0000 2017,0.847,0.0,0.153,49,@CNN
251,0.4588,Sat Dec 09 21:09:02 +0000 2017,0.675,0.103,0.222,48,@CNN
252,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,47,@CNN
253,0.1027,Sat Dec 09 21:09:02 +0000 2017,0.744,0.12,0.136,46,@CNN
254,0.3612,Sat Dec 09 21:09:02 +0000 2017,0.884,0.0,0.116,45,@CNN
255,-0.296,Sat Dec 09 21:09:02 +0000 2017,0.879,0.121,0.0,44,@CNN
256,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,43,@CNN
257,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,42,@CNN
258,-0.6124,Sat Dec 09 21:09:02 +0000 2017,0.722,0.278,0.0,41,@CNN
259,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,40,@CNN
260,-0.5423,Sat Dec 09 21:09:02 +0000 2017,0.741,0.259,0.0,39,@CNN
261,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,38,@CNN
262,0.2732,Sat Dec 09 21:09:02 +0000 2017,0.905,0.0,0.095,37,@CNN
263,-0.3626,Sat Dec 09 21:09:02 +0000 2017,0.848,0.152,0.0,36,@CNN
264,-0.6597,Sat Dec 09 21:09:02 +0000 2017,0.812,0.188,0.0,35,@CNN
265,-0.2732,Sat Dec 09 21:09:02 +0000 2017,0.717,0.165,0.118,34,@CNN
266,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,33,@CNN
267,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,32,@CNN
268,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,31,@CNN
269,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,30,@CNN
270,0.836,Sat Dec 09 21:09:02 +0000 2017,0.639,0.0,0.361,29,@CNN
271,-0.4026,Sat Dec 09 21:09:02 +0000 2017,0.732,0.169,0.099,28,@CNN
272,0.128,Sat Dec 09 21:09:02 +0000 2017,0.788,0.091,0.121,27,@CNN
273,-0.6113,Sat Dec 09 21:09:02 +0000 2017,0.75,0.25,0.0,26,@CNN
274,-0.3818,Sat Dec 09 21:09:02 +0000 2017,0.784,0.147,0.069,25,@CNN
275,0.2263,Sat Dec 09 21:09:02 +0000 2017,0.905,0.0,0.095,24,@CNN
276,-0.4215,Sat Dec 09 21:09:02 +0000 2017,0.872,0.128,0.0,23,@CNN
277,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.809,0.191,0.0,22,@CNN
